Title,Author,Year,Cow,Calves or Heifers,Housed,Pasture,Country 1,Country 2,Continent,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,Cow Health and Physiology and Physiology,Calf Health and Physiology,Cow Affective State,Calf Affective State
Management of the calving pen is a crucial factor for paratuberculosis control in large dairy herds,Donat et al.,2016,Cow,,Housed,,Germany,,Europe,,,,,Cow Health and Physiology,,,
Dairy cows' responses to 2 separation methods after 3 months of cow-calf contact,Vogt et al.,2024,Cow,Calves or Heifers,Housed,,Germany,,Europe,Calf Behavior,Cow Behavior,Cow Performance,,Cow Health and Physiology,,,
Calf-level risk factors for neonatal diarrhea and shedding of Cryptosporidium parvum in Ontario dairy calves,Trotz-Williams et al.,2007,,Calves or Heifers,Housed,,Canada,,North America,,,,,,Calf Health and Physiology,,
Investigating cow−calf contact in cow-driven systems: Performance of cow and calf,Johnsen et al.,2021,Cow,Calves or Heifers,Housed,,Norway,,Europe,,Cow Behavior,Cow Performance,Calf Performance,,,,
Effect of debonding on stress indicators in cows and calves in a cow-calf contact system,Johnsen et al.,2024,Cow,Calves or Heifers,Housed,,Norway,,Europe,Calf Behavior,Cow Behavior,,,,,,
Effect of debonding on stress indicators in cows and calves in a cow-calf contact system,van Zyl et al.,2025,Cow,,Housed,,Sweden,,Europe,,,Cow Performance,,Cow Health and Physiology,,,
Differences in the fecal microbiota of dairy calves reared with differing sources of milk and levels of maternal contact,Beaver et al.,2021,,Calves or Heifers,Housed,,Canada,,North America,,,,,,Calf Health and Physiology,,
Differences in the fecal microbiota of dairy calves reared with differing sources of milk and levels of maternal contact,Spitzer et al. ,2024,,Calves or Heifers,Housed,,Canada,,North America,Calf Behavior,,,,,,,
Components of a risk assessment tool for prevention and control of bovine respiratory disease in preweaned dairy calves,Waiblinger et al.,2020,,Calves or Heifers,Housed,,Germany,,Europe,Calf Behavior,,,,,,,
Short- and long-term effects of rearing dairy calves with contact to their mother on their reactions towards humans,Zipp and Knierim,2020,Cow,Calves or Heifers,Housed,,Germany,,Europe,,Cow Behavior,Cow Performance,Calf Performance,,,,
Calf performance in a cow-driven cow-calf contact system: Effect of 2 methods to gradually reduce cows' access to their calf,Sørby et al.,2023,,Calves or Heifers,Housed,,Norway,,Europe,,,,Calf Performance,,Calf Health and Physiology,,
"The housing of cow and calf: An overview of barn design, management and behaviour in cow-calf housing systems.",Geßenhardt et al.,2024,Cow,Calves or Heifers,Housed,,Switzerland,,Europe,Calf Behavior,Cow Behavior,,,,,,
"Effects of 2 gradual debonding strategies on machine milk yield, flow, and composition in a cow-driven cow-calf contact system",Sørby et al.,2023,Cow,,Housed,,Norway,,Europe,,,Cow Performance,,Cow Health and Physiology,,,
Can a gradual weaning and separation process reduce weaning distress in dam-reared dairy calves? A comparison with the 2-step method ,Vogt et al.,2024,,Calves or Heifers,Housed,,Germany,,Europe,Calf Behavior,,,Calf Performance,,Calf Health and Physiology,,
The effect of age at separation from the dam and presence of social companions on play behavior and weight gain in dairy calves.,Valníčková et al.,2015,,Calves or Heifers,Housed,,Czech Republic,,Europe,Calf Behavior,,,Calf Performance,,,,
"Exploring factors influencing machine milk yield of dairy cows in cow-calf contact systems: Cow behavior, animal characteristics, and milking management.",Neave et al.,2024,Cow,,Housed,,Denmark,,Europe,,Cow Behavior,Cow Performance,,,,,
"A preliminary study on the feasibility of two different cow-calf contact systems in a pasture-based, seasonal calving dairy system: effects on cow production and health.",McPherson et al.,2024,Cow,,,Pasture,Ireland,,Europe,,,Cow Performance,,Cow Health and Physiology,,,
Early-life dam-calf contact and grazing experience influence post-weaning behavior and herbage selection of dairy calves in the short term,Nicolao et al.,2020,,Calves or Heifers,,Pasture,France,,Europe,Calf Behavior,,,Calf Performance,,,,
"Effect of weaning and cow-calf contact on the physiological and clinical health, performance, and behaviour of dairy cows and their calves",McPherson et al.,2025,Cow,Calves or Heifers,,Pasture,Ireland,,Europe,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
Effects of suckling on milk yield and milk composition of dairy cows in cow-calf contact systems,Barth,2020,Cow,,Housed,,Germany,,Europe,,,Cow Performance,,Cow Health and Physiology,,,
Growth and metabolism of calves in a dairy cow-calf contact system with gradual weaning and separation,van Zyl et al.,2025,,Calves or Heifers,Housed,,Sweden,,Europe,,,,Calf Performance,,Calf Health and Physiology,,
Behavioural responses of dairy cows and calves to fenceline weaning after 4 or 6 months of full cow-calf contact,Wegner et al.,2025,Cow,Calves or Heifers,Housed,,Sweden,,Europe,Calf Behavior,Cow Behavior,,Calf Performance,,,,
Farm characteristics and calf management practices on dairy farms with and without diarrhea: A case-control study to investigate risk factors for calf diarrhea,Klein-Jöbstl et al.,2014,,Calves or Heifers,Housed,,Austria,,Europe,,,,,,Calf Health and Physiology,,
"The effects of social contact and milk allowance on responses to handling, play, and social behavior in young dairy calves",Duve et al.,2012,,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,,,,,,,
Relative telomere length in dairy calves and dams undergoing two different methods of weaning and separation after three months of contact,Sirovnik et al.,2025,Cow,Calves or Heifers,Housed,,Germany,,Europe,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
Reaction of foster cows to prevention of suckling from and separation from four calves simultaneously or in two steps,Loberg et al.,2007,Cow,,Housed,,Sweden,,Europe,,Cow Behavior,,,Cow Health and Physiology,,,
Effects of early separation on the dairy cow and calf: 2. Separation at 1 day and 2 weeks after birth,Flower and Weary,2001,Cow,Calves or Heifers,Housed,,Canada,,North America,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,,,,
Risk factors for the introduction and within-herd transmission of Mycobacterium avium subspecies paratuberculosis (MAP) infection on 59 Irish dairy herds,Cashman et al. ,2008,,Calves or Heifers,,Pasture,Ireland,,Europe,,,,,,Calf Health and Physiology,,
Laterality in bovine behavior in an extensive partially suckled herd and an intensive dairy herd,Phillips et al.,2003,Cow,,,Pasture,Brazil,,South America,,Cow Behavior,,,,,,
"Prevalence and risk factors for shedding of Cryptosporidium spp. oocysts in dairy calves of Buenos Aires Province, Argentina",Garro et al.,2016,,Calves or Heifers,,,Argentina,,South America,,,,,,Calf Health and Physiology,,
Pathogen-specific risk factors in acute outbreaks of respiratory disease in calves,Pardon et al.,2020,,Calves or Heifers,,,Belgium,,Europe,,,,,,Calf Health and Physiology,,
"The effect of rearing conditions during the milk-fed period on milk yield, growth, and maze behaviour of dairy cows during their first lactation",Broucek et al.,2021,Cow,,Housed,,Slovakia,,Europe,,Cow Behavior,Cow Performance,,Cow Health and Physiology,,,
Behaviour of calves at introduction to nurse cows after the colostrum period,Vaarst et al.,2001,,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,,,,,,,
Relationship between frequent milking or suckling in early lactation and milk production of high producing dairy cows,Bar-Peled et al.,1995,Cow,Calves or Heifers,Housed,,Israel,,Europe,,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
The early behaviour of cow and calf in an individual calving pen,Jensen,2011,Cow,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,Cow Behavior,,,,,,
Performance of free suckling dairy calves in an automatic milking system and their behaviour at weaning,Fröberg et al.,2011,,Calves or Heifers,Housed,,Sweden,,Europe,Calf Behavior,,,Calf Performance,,,,
Behaviour of dairy calves suckling the dam in a barn with automatic milking or being fed milk substitute from an automatic feeder in a group pen,Fröberg and Lidfors,2009,,Calves or Heifers,Housed,,Sweden,,Europe,Calf Behavior,,,,,,,
"Effect of suckling (‘restricted suckling’) on dairy cows’ udder health and milk let-down and their calves’ weight gain, feed intake and behaviour",Fröberg et al.,2008,,,Housed,,Mexico,,South America,Calf Behavior,,,Calf Performance,Cow Health and Physiology,,,
"Cross-sucking and other oral behaviours in calves, and their relation to cow suckling and food provision",Margerison et al.,2008,Cow,Calves or Heifers,,Pasture,Columbia,,South America,Calf Behavior,Cow Behavior,,,,,,
"Suckling, weaning, and the development of oral behaviours in dairy calves",Veissier et al.,2013,,Calves or Heifers,Housed,,France,,Europe,Calf Behavior,Cow Behavior,,Calf Performance,,Calf Health and Physiology,,
Influence of rearing conditions and breed on social behaviour and activity of cattle in novel environments,Le Neindre,1989,Cow,,,Pasture,France,,Europe,,Cow Behavior,,,,,,
Contact with cows during the young age increases social competence and lowers the cardiac stress reaction in dairy calves,Buchli et al.,2017,,Calves or Heifers,,,Switzerland,Germany,Europe,Calf Behavior,,,,,,,
Influence of cattle rearing conditions and breed on social relationships of mother and young,Le Neindre,1989,Cow,Calves or Heifers,,Pasture,France,,Europe,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,,,,
Effects of housing in different social environments on open-field and social responses of female dairy calves,Jensen et al.,1998,,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,,,,,,,
Long-term effect of colostrum feeding methods on behaviour in female dairy calves,Krohn et al.,1999,,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,,Cow Performance,Calf Performance,,Calf Health and Physiology,,
Integration into the dairy cow herd: Long-term effects of mother contact during the first twelve weeks of life,Wagner et al.,2012,Cow,,Housed,,Germany,,Europe,,Cow Behavior,,,Cow Health and Physiology,,,
Comparison of suckling and artificial rearing on calf growth and milk requirements in pastoral dairy systems,Bryant et al.,2024,Cow,Calves or Heifers,,Pasture,New Zealand,,Australasia,,,Cow Performance,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
"The effects of full-time, part-time and no cow-calf contact on calf health, behaviour, growth and labour in pasture-based dairy systems",Sinnott et al.,2024,,Calves or Heifers,,Pasture,Ireland,,Europe,Calf Behavior,,,Calf Performance,,Calf Health and Physiology,,
"Comparing gradual debonding strategies after prolonged cow-calf contact: Stress responses, performance, and health of dairy cow and calf",Wenker et al.,2022,Cow,Calves or Heifers,Housed,,The Netherlands,,Europe,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,,Calf Health and Physiology,,
Response of dairy cows and calves to early separation: Effect of calf age and visual and auditory contact after separation,Stěhulová et al.,2008,Cow,Calves or Heifers,Housed,,Sweden,,Europe,Calf Behavior,Cow Behavior,,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
Calf or grass – What would the cow choose?,Hellström et al.,2023,Cow,,Housed,,Sweden,,Europe,,Cow Behavior,,,,,,
Comparison of three methods of feeding colostrum to dairy calves,Besser et al.,1991,,Calves or Heifers,,,United States,,North America,,,,,,Calf Health and Physiology,,
Respiratory infections in Norwegian dairy calves,Gulliksen et al.,2009,,Calves or Heifers,Housed,,Norway,,Europe,,,,,,Calf Health and Physiology,,
Management factors associated with calf mortality in South Carolina dairy herds,Jenny et al.,1981,,Calves or Heifers,,,United States,,North America,,,,,,Calf Health and Physiology,,
Methods of feeding milk to young calves,Fallon and Harte,1980,,Calves or Heifers,,,Ireland,,Europe,,,,Calf Performance,,Calf Health and Physiology,,
Effects of housing and colostrum feeding on the prevalence of selected infectious organisms in feces of Jersey calves,Quigley et al.,1994,,Calves or Heifers,,,United States,,North America,,,,,,Calf Health and Physiology,,
Health and performance of Holstein calves that suckled or were hand-fed colostrum and were fed one of three physical forms of starter,Franklin et al.,2003,,Calves or Heifers,,,United States,,North America,,,,Calf Performance,,Calf Health and Physiology,,
"Effects of housing and colostrum feeding on serum immunoglobulins, growth, and fecal scores of Jersey calves",Quigley et al.,1994,,Calves or Heifers,Housed,,United States,,North America,,,,Calf Performance,,Calf Health and Physiology,,
Serum immunoglobulin concentrations and health of dairy calves in two management systems from birth to 12 weeks of age,Rajala and Castrén,1995,,Calves or Heifers,Housed,,Finland,,Europe,,,,,,Calf Health and Physiology,,
Rearing Holstein-Friesian and Brown Swiss calves on nurse cows,Carias and Vaccaro,1984,,Calves or Heifers,,Pasture,Venezuela,,South America,,,,Calf Performance,,Calf Health and Physiology,,
"Effect of suckling on the release of oxytocin, prolactin, cortisol, gastrin, cholecystokinin, somatostatin and insulin in dairy cows and their calves",Lupoli et al.,2001,Cow,Calves or Heifers,Housed,,Sweden,,Europe,,,Cow Performance,,Cow Health and Physiology,Calf Health and Physiology,,
Herd-level risk factors for infection with Mycobacterium paratuberculosis in US dairies and association between familiarity of the herd manager with the disease or prior diagnosis of the disease in that herd and use of preventive measures,Wells et al.,2000,,Calves or Heifers,Housed,,United States,,North America,,,,,,Calf Health and Physiology,,
Relationships between the presence of Johne's disease and farm and management factors in dairy cattle in England,Çetinkaya et al.,1997,,Calves or Heifers,Housed,Pasture,United Kingdom,,Europe,,,,,,Calf Health and Physiology,,
"Effect of production system, alternative treatments and calf rearing system on udder health in organic dairy cows",Wagenaar et al.,2011,Cow,Calves or Heifers,,,The Netherlands,,Europe,,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
Practical implications of increasing ‘natural living’ through suckling systems in organic dairy calf rearing,Wagenaar and Langhout,2007,,Calves or Heifers,Housed,,The Netherlands,,Europe,,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
"Effect of restricted suckling on milk yield, composition and flow, udder health, and postpartum anoestrus in grazing Holstein cows",Mendoza et al.,2009,Cow,Calves or Heifers,,Pasture,Uruguay,,South America,,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
Productivity aspects of keeping dairy cow and calf together in the post-partum period,Metz,1987,Cow,Calves or Heifers,Housed,,Poland,,Europe,Calf Behavior,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
Influence of suckling by Friesian cows on milk production and anoestrus,Thomas et al.,1981,Cow,,,Pasture,Australia,,Australasia,,,Cow Performance,,Cow Health and Physiology,,,
Improvement in milk production of first calf heifers by multiple suckling,Fulkerson et al.,1978,Cow,Calves or Heifers,,Pasture,Australia,,Australasia,,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
Effect of weaning calves from mother at different ages on their growth and milk yield of mothers,Kišac et al.,2011,Cow,Calves or Heifers,Housed,,Slovakia,,Europe,,,Cow Performance,Calf Performance,,,,
Increased weight gain and effects on production parameters of Holstein heifer calves that were allowed to suckle from birth to six weeks of age,Bar-Peled et al.,1997,Cow,Calves or Heifers,Housed,,Israel,,Asia,,,Cow Performance,Calf Performance,,,,
"Five or eight weeks of restricted suckling: influence on dairy calves’ feed intake, growth and suckling behaviour",Hepola et al.,2007,,Calves or Heifers,Housed,,Finland,,Europe,Calf Behavior,,,Calf Performance,,,,
Effects of twice-daily nursing on milk ejection and milk yield during nursing and milking in dairy cows,De Passillé et al.,2008,Cow,Calves or Heifers,Housed,,Canada,,North America,,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
"Growth rate, health and welfare in a dairy herd with natural suckling until 6–8 weeks of age: A case report",Grøndahl et al.,2007,Cow,Calves or Heifers,,Pasture,Norway,,Europe,,,,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
